title,chart_type,level,kojinsa,bpi_at_aaa,bpi_at_9444,cpi_hard,cpi_exhard,source
n'pa pa BBQ,SPA,12.2,—,21.8,51.5,1585.0,1875.0,chart_features_only
A Certified Rave Moment,SPA,12.2,—,17.0,42.8,1614.0,1996.0,chart_features_only
"ROCK女 feat. 大山愛未, Ken",SPA,12.2,—,24.4,45.7,1599.0,1894.0,chart_features_only
Red Determination,SPA,12.2,—,23.5,45.5,1598.0,1906.0,chart_features_only
Space In Time,SPA,12.2,—,19.3,44.5,1618.0,1931.0,chart_features_only
THE SHINING POLARIS,SPA,12.2,—,19.1,44.9,1621.0,1925.0,chart_features_only
Sarutobi Champion is 拙者,SPA,12.2,—,26.2,49.4,1553.0,1873.0,chart_features_only
Dark Fall,SPA,12.2,—,21.4,46.7,1608.0,1883.0,chart_features_only
GO!,SPA,12.1,—,25.6,47.4,1528.0,1934.0,chart_features_only
diagram,SPA,12.1,—,21.8,44.3,1575.0,1950.0,chart_features_only
Substance,SPA,12.1,—,22.0,44.9,1588.0,1920.0,chart_features_only
You'll say \,SPA,12.1,—,23.6,45.6,1588.0,1894.0,chart_features_only
SCHWARZSCHILD FIELD,SPA,12.1,—,24.3,48.5,1552.0,1899.0,chart_features_only
LADYBIRD,SPA,12.1,—,25.5,48.1,1555.0,1886.0,chart_features_only
Modular Technology,SPA,12.1,—,20.8,48.3,1578.0,1901.0,chart_features_only
Uh-Oh,SPA,12.1,—,13.2,37.2,1655.0,2018.0,chart_features_only
EXODUS SIGN,SPA,12.1,—,27.0,45.7,1563.0,1879.0,chart_features_only
Ah Hah Yeah,SPA,12.1,—,20.5,50.1,1566.0,1893.0,chart_features_only
Spica,SPA,12.1,—,22.1,50.2,1544.0,1906.0,chart_features_only
outer wall,SPL,12.1,—,16.2,42.9,1606.0,1969.0,chart_features_only
In the Blackest Den,SPA,12.1,—,20.0,43.8,1596.0,1922.0,chart_features_only
m1dy Dynamic,SPA,12.1,—,20.9,42.2,1581.0,1945.0,chart_features_only
LOVE IS DREAMINESS,SPA,12.1,—,13.3,40.3,1614.0,1996.0,chart_features_only
Around the Future,SPA,12.1,—,21.5,45.7,1565.0,1899.0,chart_features_only
BattleRoyal,SPA,12.1,—,22.6,44.3,1567.0,1902.0,chart_features_only
Kailua,SPA,12.1,—,19.8,44.5,1579.0,1912.0,chart_features_only
とろぴかる倶楽部,SPA,12.1,—,24.8,48.0,1514.0,1902.0,chart_features_only
Funny shuffle,SPA,12.1,—,17.5,47.0,1575.0,1911.0,chart_features_only
PopなEDEN,SPA,12.1,—,22.6,49.6,1567.0,1826.0,chart_features_only
LAB,SPL,12.1,—,17.7,40.9,1603.0,1939.0,chart_features_only
TECHNO RUMBLE,SPA,12.1,—,20.2,45.6,1578.0,1885.0,chart_features_only
apo:llioth,SPA,12.1,—,13.9,45.2,1636.0,1881.0,chart_features_only
Castle on the Moon,SPA,12.1,—,21.3,47.2,1564.0,1869.0,chart_features_only
TRANOID,SPA,12.1,—,22.9,48.9,1563.0,1830.0,chart_features_only
Shiva,SPA,12.1,—,20.3,41.2,1582.0,1927.0,chart_features_only
Zenith,SPA,12.1,—,14.9,36.0,1647.0,1964.0,chart_features_only
忍恋花,SPA,12.1,—,16.7,42.1,1600.0,1930.0,chart_features_only
This Is Club Musik feat. 大久保紅葉,SPA,12.1,—,22.8,43.7,1588.0,1854.0,chart_features_only
BroGamer,SPA,12.1,—,10.9,37.4,1647.0,1987.0,chart_features_only
死神自爆中二妹アイドルももかりん(1歳),SPA,12.1,—,18.1,44.1,1594.0,1890.0,chart_features_only
Chronos,SPA,12.1,—,22.8,44.2,1565.0,1874.0,chart_features_only
Crazy Jackpot,SPA,12.1,—,21.3,46.9,1547.0,1880.0,chart_features_only
もっと!モット!ときめき feat.松下,SPA,12.1,—,17.8,40.7,1607.0,1911.0,chart_features_only
OTOKOZAKA,SPA,12.1,—,15.4,43.1,1606.0,1910.0,chart_features_only
GIGA THRASH,SPA,12.1,—,24.9,43.4,1569.0,1848.0,chart_features_only
I Love You,SPA,12.1,—,19.7,42.9,1600.0,1869.0,chart_features_only
Abraxas,SPA,12.1,—,20.5,43.9,1554.0,1902.0,chart_features_only
量子の海のリントヴルム,SPA,12.1,—,20.2,49.4,1557.0,1828.0,chart_features_only
naughty girl@Queen's Palace†,SPL,12.1,—,12.6,40.7,1604.0,1959.0,chart_features_only
Routing,SPA,12.1,—,19.5,44.7,1542.0,1912.0,chart_features_only
Kecak,SPA,12.1,—,25.1,44.1,1537.0,1855.0,chart_features_only
天空脳番長危機十六連打,SPA,12.1,—,15.5,39.7,1627.0,1892.0,chart_features_only
ADAMANT,SPA,12.1,—,19.9,42.2,1582.0,1871.0,chart_features_only
Night sky,SPA,12.1,—,17.7,44.1,1559.0,1902.0,chart_features_only
INORI,SPA,12.1,—,18.1,41.6,1583.0,1895.0,chart_features_only
めうめうぺったんたん！！,SPA,12.1,—,12.6,39.2,1620.0,1938.0,chart_features_only
Insane Techniques,SPA,12.1,—,23.1,44.1,1552.0,1849.0,chart_features_only
Erosion Mark,SPA,12.1,—,15.5,37.9,1609.0,1933.0,chart_features_only
チェイスチェイスジョーカーズのうた,SPA,12.1,—,7.6,37.8,1614.0,2017.0,chart_features_only
GENOCIDE,SPA,12.0,—,19.2,45.4,1553.0,1868.0,chart_features_only
うさ☆かめ 大戦争！,SPA,12.0,—,22.3,43.8,1551.0,1854.0,chart_features_only
i-ii,SPA,12.0,—,18.7,46.0,1565.0,1845.0,chart_features_only
Amor De Verão,SPA,12.0,—,22.9,42.2,1542.0,1874.0,chart_features_only
3V0,SPA,12.0,—,20.5,45.7,1536.0,1866.0,chart_features_only
On the FM,SPA,12.0,—,17.4,43.6,1574.0,1875.0,chart_features_only
Be a Hero!,SPA,12.0,—,17.6,41.8,1600.0,1858.0,chart_features_only
Ganymede,SPA,12.0,—,20.9,45.0,1549.0,1851.0,chart_features_only
Sakura Mirage,SPA,12.0,—,19.6,42.9,1551.0,1888.0,chart_features_only
ZEPHYRANTHES,SPA,12.0,—,17.6,45.1,1566.0,1860.0,chart_features_only
Engraved Mark,SPA,12.0,—,17.9,42.2,1580.0,1871.0,chart_features_only
With You,SPA,12.0,—,17.6,43.3,1558.0,1892.0,chart_features_only
UMMU,SPA,12.0,—,17.6,42.4,1562.0,1896.0,chart_features_only
Psycho Sheep Riddim,SPL,12.0,—,13.3,42.1,1578.0,1924.0,chart_features_only
out of disk space,SPA,12.0,—,13.2,42.3,1581.0,1914.0,chart_features_only
& Intelligence,SPA,12.0,—,22.6,45.2,1523.0,1851.0,chart_features_only
BRAINSTORM,SPA,12.0,—,19.5,43.4,1559.0,1856.0,chart_features_only
GOLD RUSH 2025,SPA,12.0,—,18.3,42.7,1562.0,1872.0,chart_features_only
NEMESIS,SPA,12.0,—,14.9,40.0,1628.0,1853.0,chart_features_only
Atröpøs,SPA,12.0,—,17.7,40.7,1579.0,1880.0,chart_features_only
neogenesis,SPL,12.0,—,12.9,37.0,1623.0,1918.0,chart_features_only
NEW SENSATION,SPA,12.0,—,18.6,38.3,1577.0,1899.0,chart_features_only
New Decade,SPA,12.0,—,17.4,43.9,1569.0,1854.0,chart_features_only
Temple of Anubis,SPA,12.0,—,20.1,42.0,1558.0,1862.0,chart_features_only
Xepher,SPA,12.0,—,20.4,44.1,1561.0,1827.0,chart_features_only
"Breaking Dawn feat. NO+CHIN, AYANO",SPA,12.0,—,16.5,40.6,1585.0,1882.0,chart_features_only
Drop It,SPA,12.0,—,21.5,43.3,1530.0,1866.0,chart_features_only
Monkey Business,SPA,12.0,—,21.4,44.7,1554.0,1816.0,chart_features_only
HELL SCAPER,SPA,12.0,—,4.1,37.2,1646.0,1968.0,chart_features_only
GALGALIM,SPA,12.0,—,16.2,41.3,1593.0,1849.0,chart_features_only
炸裂！イェーガー電光チョップ!!,SPA,12.0,—,16.4,42.5,1540.0,1905.0,chart_features_only
BLOCKS,SPA,12.0,—,18.3,43.9,1553.0,1847.0,chart_features_only
Inner Spirit,SPA,12.0,—,18.5,44.9,1529.0,1866.0,chart_features_only
Love Is Eternity,SPA,12.0,—,13.8,34.6,1640.0,1892.0,chart_features_only
Change Yourself,SPA,12.0,—,18.6,41.5,1564.0,1854.0,chart_features_only
Be OK,SPL,12.0,—,13.9,39.5,1596.0,1885.0,chart_features_only
Rosa azuL,SPA,12.0,—,19.8,46.6,1540.0,1807.0,chart_features_only
Six String Proof,SPA,12.0,—,16.9,44.2,1550.0,1856.0,chart_features_only
Hello Happiness,SPA,12.0,—,17.2,41.2,1562.0,1872.0,chart_features_only
Scripted Connection⇒,SPL,12.0,—,16.4,41.5,1580.0,1852.0,chart_features_only
Bang Bang Dance,SPA,12.0,—,17.2,42.8,1563.0,1850.0,chart_features_only
Aublia,SPA,12.0,—,18.7,41.2,1549.0,1870.0,chart_features_only
Explorer feat. ぷにぷに電機,SPL,12.0,—,19.7,41.5,1552.0,1851.0,chart_features_only
デモーニッシュ,SPA,12.0,—,6.0,39.4,1630.0,1925.0,chart_features_only
ハイテックトキオ,SPA,12.0,—,13.2,39.0,1599.0,1891.0,chart_features_only
chaos eater,SPA,12.0,—,10.9,38.3,1598.0,1926.0,chart_features_only
FINALLY BLAZE,SPA,12.0,—,15.7,41.4,1583.0,1850.0,chart_features_only
RISLIM,SPA,12.0,—,18.7,41.7,1543.0,1867.0,chart_features_only
DISAPPEAR feat. koyomin,SPA,12.0,—,21.0,42.8,1544.0,1824.0,chart_features_only
Queen Kaguya,SPA,12.0,—,19.9,39.4,1557.0,1862.0,chart_features_only
覚悟せよ！エンタンメ～ン,SPA,12.0,—,15.4,42.0,1577.0,1851.0,chart_features_only
C-C-C-N-N-N,SPA,12.0,—,16.5,43.8,1553.0,1849.0,chart_features_only
Hallucination,SPA,12.0,—,12.6,36.7,1607.0,1904.0,chart_features_only
Jack,SPL,12.0,—,15.8,44.2,1541.0,1865.0,chart_features_only
KHAMEN BREAK,SPA,12.0,—,11.4,39.3,1576.0,1927.0,chart_features_only
Lighting Shower,SPA,12.0,—,13.7,43.9,1563.0,1858.0,chart_features_only
Burning Flame,SPA,12.0,—,18.6,42.8,1552.0,1826.0,chart_features_only
Star Trail,SPL,12.0,—,19.3,40.3,1559.0,1837.0,chart_features_only
《GRANDMASTER》,SPA,12.0,—,20.4,42.0,1540.0,1829.0,chart_features_only
Override,SPA,12.0,—,19.0,42.5,1537.0,1840.0,chart_features_only
ぐだふわエブリデー,SPA,12.0,—,8.9,38.4,1629.0,1879.0,chart_features_only
HYENA,SPA,12.0,—,17.2,41.0,1566.0,1837.0,chart_features_only
(This Is Not) The Angels,SPA,12.0,—,16.2,40.9,1561.0,1854.0,chart_features_only
No.13,SPA,12.0,—,16.9,41.7,1553.0,1846.0,chart_features_only
MOCHIMOCHI DREAMIN!!,SPA,12.0,—,15.3,41.3,1558.0,1858.0,chart_features_only
Usual Days,SPA,12.0,—,21.1,44.1,1540.0,1780.0,chart_features_only
murmur twins,SPA,12.0,—,14.0,38.5,1594.0,1857.0,chart_features_only
Tell me what you wish feat.らっぷびと,SPA,12.0,—,18.1,42.5,1540.0,1833.0,chart_features_only
T.R.O.L.L.,SPA,12.0,—,19.3,44.9,1523.0,1811.0,chart_features_only
STOIC HYPOTHESIS,SPA,12.0,—,16.5,42.9,1553.0,1826.0,chart_features_only
Harmony and Lovely,SPA,12.0,—,17.8,40.7,1545.0,1849.0,chart_features_only
か・し・ま・し☆PUMP UP！,SPA,12.0,—,16.3,38.2,1569.0,1862.0,chart_features_only
セロトニン,SPA,12.0,—,16.3,40.0,1573.0,1832.0,chart_features_only
Secret of Love,SPA,12.0,—,13.9,36.6,1585.0,1886.0,chart_features_only
BROKEN EDEN,SPA,12.0,—,15.4,39.4,1565.0,1862.0,chart_features_only
EXTREME MACH COLLIDER,SPA,12.0,—,20.3,41.6,1544.0,1803.0,chart_features_only
眠りの国のステラ,SPA,12.0,—,17.8,40.5,1552.0,1833.0,chart_features_only
パーフェクトイーター,SPA,12.0,—,13.6,40.8,1568.0,1856.0,chart_features_only
Caldwell 99,SPA,12.0,—,17.3,40.6,1552.0,1837.0,chart_features_only
おーまい！らぶりー！すうぃーてぃ！だーりん！,SPA,12.0,—,16.1,44.0,1527.0,1842.0,chart_features_only
S!ck,SPA,12.0,—,14.5,37.9,1589.0,1850.0,chart_features_only
Banger Banger Banger Banger,SPA,12.0,—,20.5,44.1,1514.0,1805.0,chart_features_only
Votum stellarum,SPA,12.0,—,16.6,42.2,1567.0,1798.0,chart_features_only
Battleground,SPA,12.0,—,15.4,39.5,1585.0,1821.0,chart_features_only
POODLE,SPL,12.0,—,11.5,37.4,1590.0,1886.0,chart_features_only
Stylus,SPA,12.0,—,18.4,43.9,1530.0,1808.0,chart_features_only
Submerge Serenade,SPA,11.9,—,18.9,43.5,1524.0,1811.0,chart_features_only
RESONATE 1794,SPA,11.9,—,13.0,41.8,1544.0,1870.0,chart_features_only
Amethyst,SPA,11.9,—,15.8,40.2,1548.0,1851.0,chart_features_only
R5,SPA,11.9,—,5.6,34.1,1619.0,1944.0,chart_features_only
Be quiet,SPA,11.9,—,17.4,41.8,1526.0,1842.0,chart_features_only
Wolf 1061,SPA,11.9,—,16.8,42.7,1537.0,1822.0,chart_features_only
GOBBLE,SPA,11.9,—,13.0,38.2,1579.0,1859.0,chart_features_only
Session 1,SPA,11.9,—,9.7,37.8,1604.0,1867.0,chart_features_only
stoic,SPA,11.9,—,12.0,37.8,1578.0,1871.0,chart_features_only
Hat Surprise (Season 3),SPA,11.9,—,15.0,38.4,1573.0,1836.0,chart_features_only
Honey Trap,SPA,11.9,—,15.4,39.3,1545.0,1858.0,chart_features_only
ILAYZA,SPA,11.9,—,13.4,39.8,1570.0,1838.0,chart_features_only
Necroxis Girl,SPA,11.9,—,17.5,43.8,1529.0,1800.0,chart_features_only
Lost Souls,SPA,11.9,—,14.6,40.3,1562.0,1829.0,chart_features_only
Seraph,SPA,11.9,—,8.5,34.7,1611.0,1900.0,chart_features_only
Blame,SPA,11.9,—,15.6,40.7,1541.0,1841.0,chart_features_only
COSMIC CYBER,SPA,11.9,—,14.5,40.3,1554.0,1837.0,chart_features_only
xenon,SPA,11.9,—,7.9,36.1,1611.0,1885.0,chart_features_only
V2,SPA,11.9,—,14.1,38.0,1568.0,1849.0,chart_features_only
rainbow flyer,SPA,11.9,—,13.3,39.2,1567.0,1845.0,chart_features_only
ZETA,SPA,11.9,—,20.5,39.5,1512.0,1834.0,chart_features_only
Selfish Sweet,SPL,11.9,—,17.4,41.7,1526.0,1821.0,chart_features_only
Mira,SPA,11.9,—,20.1,43.7,1502.0,1798.0,chart_features_only
Yellow Sketch,SPA,11.9,—,17.8,40.0,1542.0,1812.0,chart_features_only
《ORDERBREAKER》,SPA,11.9,—,16.2,38.8,1571.0,1802.0,chart_features_only
Squeeze,SPA,11.9,—,17.9,42.9,1506.0,1822.0,chart_features_only
MVP,SPA,11.9,—,11.8,42.9,1550.0,1831.0,chart_features_only
Red Soul,SPA,11.9,—,16.2,41.8,1527.0,1825.0,chart_features_only
狂水一華,SPA,11.9,—,15.8,39.8,1555.0,1815.0,chart_features_only
Destiny Sword,SPA,11.9,—,13.0,41.7,1550.0,1831.0,chart_features_only
CODE -CRiMSON-,SPA,11.9,—,17.2,45.5,1507.0,1793.0,chart_features_only
打打打打打打打打打打,SPA,11.9,—,10.6,35.7,1564.0,1909.0,chart_features_only
牧神笛吹きて,SPA,11.9,—,11.2,37.9,1585.0,1845.0,chart_features_only
Overload Frontier,SPA,11.9,—,12.2,35.5,1587.0,1859.0,chart_features_only
Breakin' Rules,SPA,11.9,—,13.2,40.6,1563.0,1817.0,chart_features_only
Scharfrichter,SPA,11.9,—,10.4,35.7,1568.0,1901.0,chart_features_only
Globe Glitter,SPA,11.9,—,12.8,39.7,1574.0,1812.0,chart_features_only
Countdown to Heaven or Hell,SPA,11.9,—,17.2,40.0,1534.0,1813.0,chart_features_only
Programmed Genom,SPA,11.9,—,16.5,39.2,1548.0,1808.0,chart_features_only
Urban Constellations,SPA,11.9,—,12.9,37.2,1578.0,1830.0,chart_features_only
Giudecca,SPA,11.9,—,12.8,38.1,1559.0,1843.0,chart_features_only
ZEИITH,SPA,11.9,—,14.7,40.3,1527.0,1838.0,chart_features_only
INHERITANCE,SPA,11.9,—,12.5,40.5,1559.0,1815.0,chart_features_only
Rock It,SPA,11.9,—,15.1,41.3,1507.0,1847.0,chart_features_only
Elisha,SPA,11.9,—,12.1,37.1,1557.0,1864.0,chart_features_only
麗 ～うらら～,SPA,11.9,—,12.5,40.0,1557.0,1817.0,chart_features_only
Jungle Eater,SPA,11.9,—,12.6,38.1,1542.0,1860.0,chart_features_only
nostos,SPA,11.9,—,15.6,40.9,1529.0,1808.0,chart_features_only
鬼天,SPA,11.9,—,12.0,35.5,1578.0,1848.0,chart_features_only
voice of echo.,SPA,11.9,—,12.0,38.6,1549.0,1846.0,chart_features_only
Scripted Connection⇒,SPA,11.9,—,16.4,42.1,1514.0,1799.0,chart_features_only
AMRITA,SPA,11.9,—,14.6,39.2,1552.0,1803.0,chart_features_only
INVISIBLE STRIX,SPA,11.9,—,13.1,38.1,1561.0,1821.0,chart_features_only
Ypsilon,SPA,11.9,—,14.1,42.0,1533.0,1797.0,chart_features_only
refractive index,SPA,11.9,—,13.0,40.3,1549.0,1809.0,chart_features_only
the shadow,SPA,11.9,—,13.9,39.0,1530.0,1838.0,chart_features_only
Deceive Your Insight,SPA,11.9,—,15.8,40.7,1526.0,1801.0,chart_features_only
乱膳の舞姫,SPA,11.9,—,16.8,41.6,1510.0,1799.0,chart_features_only
STARLiGHT,SPA,11.9,—,10.3,37.7,1547.0,1868.0,chart_features_only
Speculation,SPA,11.9,—,8.7,37.7,1573.0,1849.0,chart_features_only
KEY,SPA,11.9,—,7.9,34.7,1563.0,1911.0,chart_features_only
LUV TO ME,SPA,11.9,—,13.6,38.1,1530.0,1849.0,chart_features_only
Yum Yum Jelly,SPA,11.9,—,15.2,38.0,1531.0,1829.0,chart_features_only
Cyber True Color,SPA,11.9,—,11.9,38.6,1553.0,1826.0,chart_features_only
Let The Track Flow,SPA,11.9,—,11.2,36.7,1548.0,1865.0,chart_features_only
寝起きヤシの木,SPA,11.9,—,8.1,32.4,1614.0,1859.0,chart_features_only
パラドキシカル・タイムリープトライアル,SPA,11.9,—,17.1,36.3,1530.0,1826.0,chart_features_only
CODE:2,SPA,11.9,—,15.2,40.6,1507.0,1823.0,chart_features_only
Moving on,SPA,11.9,—,16.5,40.9,1497.0,1816.0,chart_features_only
CONCEPTUAL,SPA,11.9,—,12.2,41.2,1524.0,1822.0,chart_features_only
Shoot'Em All,SPA,11.9,—,11.5,39.4,1538.0,1832.0,chart_features_only
全力 SPECIAL VACATION!!,SPA,11.9,—,11.0,38.9,1541.0,1838.0,chart_features_only
勇者,SPA,11.9,—,1.5,37.6,1605.0,1872.0,chart_features_only
GET READY!!,SPA,11.9,—,9.1,38.0,1562.0,1833.0,chart_features_only
FIRE BALL,SPA,11.9,—,12.8,39.7,1529.0,1815.0,chart_features_only
GIGA VIOLATE,SPA,11.9,—,14.1,38.2,1537.0,1806.0,chart_features_only
Onyx,SPA,11.9,—,8.2,33.5,1600.0,1845.0,chart_features_only
華麗なる!音戯探偵ひなビタ♫,SPA,11.9,—,14.8,38.2,1530.0,1808.0,chart_features_only
ChaserXX,SPA,11.9,—,15.1,43.3,1483.0,1805.0,chart_features_only
Just Gimme,SPA,11.9,—,16.5,37.9,1517.0,1808.0,chart_features_only
tripping contact,SPA,11.9,—,13.8,38.8,1535.0,1803.0,chart_features_only
合体せよ!ストロングイェーガー!!,SPA,11.9,—,12.7,39.0,1533.0,1815.0,chart_features_only
VEGA,SPA,11.9,—,9.8,38.2,1556.0,1826.0,chart_features_only
Next Tales 2 Oath,SPA,11.9,—,14.6,38.1,1542.0,1789.0,chart_features_only
Energy Drive,SPA,11.9,—,13.0,38.1,1531.0,1823.0,chart_features_only
SHELTER OF THE MIND,SPA,11.9,—,13.4,37.6,1521.0,1838.0,chart_features_only
Programmed Sun,SPA,11.9,—,15.7,38.8,1508.0,1813.0,chart_features_only
GIGA RAID,SPA,11.9,—,14.9,34.9,1550.0,1812.0,chart_features_only
Fractal,SPA,11.9,—,13.2,40.5,1523.0,1798.0,chart_features_only
smooooch・∀・,SPL,11.9,—,10.2,34.7,1555.0,1855.0,chart_features_only
everlastingeuphoria:,SPA,11.9,—,16.4,39.5,1509.0,1786.0,chart_features_only
GLORIOUS HAMMER,SPA,11.8,—,13.4,41.5,1513.0,1787.0,chart_features_only
DAWN,SPA,11.8,—,1.5,32.7,1579.0,1942.0,chart_features_only
No Limit 2 dAnce feat. 大山愛未,SPA,11.8,—,16.2,38.9,1499.0,1806.0,chart_features_only
All is Wrecked,SPA,11.8,—,12.5,38.4,1541.0,1792.0,chart_features_only
Like+it!,SPA,11.8,—,16.9,41.3,1482.0,1788.0,chart_features_only
